t,lat,lon
54.91,47.0643445933784,15.453069755823469
55.68,47.064345410689064,15.453065985843871
56.37,47.064347825854284,15.453064230491636
57.03,47.06435030574983,15.453065779161571
57.69,47.06435167927644,15.453069183057925
58.28,47.064352406581264,15.453072992568469
58.92,47.06435233188934,15.453076947359309
59.51,47.06435175640212,15.453080812412246
60.12,47.064351126779194,15.453084659233273
60.78,47.06435065025234,15.453088553203337
61.41,47.06435043521645,15.453092496899215
62.02,47.06435054207232,15.453096450098522
62.67,47.06435109069664,15.453100323561126
63.35,47.064351830393186,15.453104127926014
63.96,47.064352793506814,15.45310782296162
64.73,47.06435338963745,15.453111681265545
65.51,47.06435349107939,15.453115634772459
66.21,47.06435192385318,15.45311885329395
66.87,47.064349476350415,15.453120509304048
67.49,47.06434711935329,15.45312242750872
68.09,47.06434498186323,15.45312483701779
68.67,47.064340363695344,15.45313292043607
69.22,47.06433385796393,15.453137402567329
69.79,47.064327552673255,15.45314246454676
70.35,47.064321052263,15.453146963284892
70.93,47.06431533260352,15.453153350826216
71.5,47.06430921835186,15.453158894921648
72.06,47.064303508192786,15.453165300754172
72.65,47.06429715618926,15.453170235260165
73.23,47.06429175763805,15.453177199087804
73.83,47.06428508677239,15.4531811233754
74.43,47.0642787335996,15.453186054634505
77.97,47.06427332343072,15.453192999001548
78.66,47.064266492472726,15.453196276433912
79.26,47.0642600384634,15.45320091691431
79.84,47.06425288238169,15.453201886932552
80.39,47.06424582679736,15.45319988218626
80.99,47.06423975622775,15.453194235593164
81.58,47.06423588674562,15.453185345344892
82.15,47.06423476262986,15.453174925071735
82.73,47.06423530084145,15.453164404561585
83.31,47.06423633850605,15.453153964979984
83.88,47.06423940465906,15.453144423273189
84.45,47.06424172450219,15.4531344379292
85.05,47.06424576391828,15.453125712104876
85.66,47.06424962488703,15.453116813882136
86.28,47.06425598809727,15.453111910597586
86.89,47.06426280130402,15.453108554478218
87.49,47.06426983851109,15.453106415046836
88.08,47.064276366780305,15.453102004111233
88.66,47.064282997931166,15.45309793734751
89.24,47.064288190309824,15.45309064346042
89.83,47.064294748787766,15.453086330183465
90.43,47.06430112769275,15.453081471043435
91.05,47.064308016964965,15.453084473919153
91.63,47.0643146502926,15.453088533027307
92.23,47.06432174544625,15.453090210008375
92.8,47.06432878682845,15.453092319628388
93.44,47.06433521276086,15.453097043342865
94.02,47.06434185490857,15.453101071248811
94.61,47.06434859114492,15.453104747008311
95.18,47.06435575452594,15.45310559298466
95.8,47.064362710030785,15.453108246481458
96.38,47.06436978126101,15.453110128680962
96.96,47.06437696735606,15.453110243716266
97.53,47.06438385877979,15.453107251494856
98.1,47.06439102379528,15.453106435894291
98.68,47.06439812621801,15.453104826592236
99.3,47.06440492329503,15.45310140070229
99.87,47.06441099587327,15.453095758748995
100.48,47.06441788648769,15.45309276251156
101.05,47.06442477968986,15.45308977912954
101.63,47.06443196181025,15.453089409924225
102.22,47.064439080907626,15.453090851722418
102.84,47.064446223111915,15.453092021584965
103.41,47.06445318046307,15.453094664634031
104.0,47.064459810668986,15.453098734730316
104.58,47.06446497757942,15.453106067516096
105.17,47.06447076258247,15.453112326968096
105.74,47.06447600769725,15.453119539102588
106.34,47.064479732088415,15.453128561950965
106.92,47.06447898368682,15.453139054773265
107.53,47.064476462179925,15.453148934238774
108.12,47.06447208601806,15.453157302817242
108.73,47.064465663062094,15.453162035260712
109.33,47.064458477572494,15.45316185641417
110.0,47.0644525310035,15.45315593224642
