t,E,N
120.64,14.32141595737404,23.664690644603844
121.26,14.590299836148994,23.531643811740615
121.9,14.883147278761237,23.596761976299117
122.57,15.114002178235818,23.788350116298915
123.28,15.363788564013698,23.954502941974628
124.1,15.506700377868533,23.690729907983812
124.66,15.750695834354374,23.516184162649626
125.23,16.030247249248877,23.407321834774084
125.78,16.326876092962642,23.362473991157763
126.32,16.624527039508063,23.39994283182058
126.86,16.924421932188544,23.40788344540913
127.41,17.221325710595274,23.450873518307517
127.96,17.520025365290046,23.478775422995618
128.5,17.81995953074943,23.485060038352398
129.02,18.114772291870842,23.4295133383607
129.58,18.379339892805135,23.28807789536329
130.13,18.60906523892359,23.09513680240807
130.72,18.82088425809516,22.88269221406279
131.34,19.035418618147464,22.672990024381928
131.93,19.235416622511334,22.44938144169676
132.53,19.778614798631946,21.862069138523022
133.12,20.263578376198762,21.225822072963112
133.72,20.71442799735299,20.564963072036974
134.34,21.1175174521438,19.87393565475424
134.96,21.26108011737769,19.086922464806992
135.57,21.225166967420183,18.287728967798834
136.17,21.194179637799518,17.488329327191597
136.76,21.3159655670842,16.697653548235223
137.34,21.484013426204687,15.915502720680193
137.91,21.68466698750288,15.14107509440492
138.49,21.956718594388132,14.388753405769565
139.08,22.0183573561826,13.59113152602676
139.69,21.823873121012554,12.815131601883516
140.29,21.52631563252604,12.072528382764721
140.91,21.006261579092207,11.464627254696149
141.53,20.341916920750794,11.018929851816988
142.14,19.5967948684845,10.727737257085481
142.75,18.820220666214404,10.535558932687128
143.38,18.02710223101141,10.430853881514066
143.99,17.22756372173283,10.403684557256847
144.56,16.472016412234847,10.666645130557022
145.21,15.703802487037034,10.88991036549558
145.81,14.937569652717048,11.119882632540891
146.42,14.148480480299103,11.251557527539
147.01,13.363400391819662,11.405340669245472
147.62,12.563954006803758,11.435097642966019
148.26,11.765574284049846,11.485987900337996
148.89,10.966716583743068,11.528724005220948
149.53,10.166717447175541,11.527548636677645
150.23,9.366974295060853,11.547819074405096
153.68,8.988681183441281,12.252726388667888
154.48,8.692331908031738,12.995812592929708
157.24,8.06536645548598,12.49890785224585
157.95,7.459581312877147,11.976390521438157
158.81,6.814494107232364,11.503249425026732
161.9,6.509265586212225,12.242732724335012
162.73,6.350796858721307,13.02688045429883
164.65,7.024293740580655,13.458623375637139
165.41,7.702220659332357,13.883376354239788
166.19,8.352908261510008,14.348785469290513
168.99,9.022116008410103,13.910423756216828
169.7,9.748158147500174,13.574473146356517
170.43,10.31705552456739,13.01201801537624
172.35,9.712559696478664,12.488009624390632
173.12,9.018930223580496,12.089414398218755
176.28,8.666982317648705,12.807838139133702
177.23,8.288870727569208,13.512842838017018
